"_id","_ignored","_index","_score",hostname,"hostname.keyword","query_name","query_name.keyword","raw_data.address","raw_data.address.keyword","raw_data.cpu_seconds","raw_data.cpu_seconds.keyword","raw_data.hotfix_id","raw_data.hotfix_id.keyword","raw_data.installed_on","raw_data.installed_on.keyword","raw_data.memory_mb","raw_data.memory_mb.keyword","raw_data.name","raw_data.name.keyword","raw_data.path","raw_data.path.keyword","raw_data.pid","raw_data.pid.keyword","raw_data.port","raw_data.port.keyword","raw_data.protocol","raw_data.protocol.keyword","raw_data.publisher","raw_data.publisher.keyword","raw_data.version","raw_data.version.keyword","risk_score","summary_text","summary_text.keyword",timestamp
aZqAwJoBgRINlVaoMj2l,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","Python 3.12.5 Tcl/Tk Support (64-bit)","Python 3.12.5 Tcl/Tk Support (64-bit)","-","-","-","-","-","-","-","-","Python Software Foundation","Python Software Foundation","3.12.5150.0","3.12.5150.0",30,"Unverified Application: 'Python 3.12.5 Tcl/Tk Support (64-bit)'","Unverified Application: 'Python 3.12.5 Tcl/Tk Support (64-bit)'","Nov 26, 2025 @ 22:07:41.000"
apqAwJoBgRINlVaoMj2m,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","Python 3.12.5 pip Bootstrap (64-bit)","Python 3.12.5 pip Bootstrap (64-bit)","-","-","-","-","-","-","-","-","Python Software Foundation","Python Software Foundation","3.12.5150.0","3.12.5150.0",30,"Unverified Application: 'Python 3.12.5 pip Bootstrap (64-bit)'","Unverified Application: 'Python 3.12.5 pip Bootstrap (64-bit)'","Nov 26, 2025 @ 22:07:41.000"
a5qAwJoBgRINlVaoMj2o,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","SQL Server 2022 Database Engine Services","SQL Server 2022 Database Engine Services","-","-","-","-","-","-","-","-","Microsoft Corporation","Microsoft Corporation","16.0.1000.6","16.0.1000.6",30,"Unverified Application: 'SQL Server 2022 Database Engine Services'","Unverified Application: 'SQL Server 2022 Database Engine Services'","Nov 26, 2025 @ 22:07:41.000"
bJqAwJoBgRINlVaoMj2q,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","Microsoft Update Health Tools","Microsoft Update Health Tools","-","-","-","-","-","-","-","-","Microsoft Corporation","Microsoft Corporation","5.72.0.0","5.72.0.0",30,"Unverified Application: 'Microsoft Update Health Tools'","Unverified Application: 'Microsoft Update Health Tools'","Nov 26, 2025 @ 22:07:41.000"
bZqAwJoBgRINlVaoMj2r,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","DiagnosticsHub_CollectionService","DiagnosticsHub_CollectionService","-","-","-","-","-","-","-","-","Microsoft Corporation","Microsoft Corporation","17.14.36412","17.14.36412",30,"Unverified Application: 'DiagnosticsHub_CollectionService'","Unverified Application: 'DiagnosticsHub_CollectionService'","Nov 26, 2025 @ 22:07:41.000"
bpqAwJoBgRINlVaoMj2t,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","SQL Server 2022 Database Engine Shared","SQL Server 2022 Database Engine Shared","-","-","-","-","-","-","-","-","Microsoft Corporation","Microsoft Corporation","16.0.1000.6","16.0.1000.6",30,"Unverified Application: 'SQL Server 2022 Database Engine Shared'","Unverified Application: 'SQL Server 2022 Database Engine Shared'","Nov 26, 2025 @ 22:07:41.000"
b5qAwJoBgRINlVaoMj2v,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","SQL Server 2022 DMF","SQL Server 2022 DMF","-","-","-","-","-","-","-","-","Microsoft Corporation","Microsoft Corporation","16.0.1000.6","16.0.1000.6",30,"Unverified Application: 'SQL Server 2022 DMF'","Unverified Application: 'SQL Server 2022 DMF'","Nov 26, 2025 @ 22:07:41.000"
cJqAwJoBgRINlVaoMj2x,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-",Tailscale,Tailscale,"-","-","-","-","-","-","-","-","Tailscale Inc.","Tailscale Inc.","1.90.8","1.90.8",30,"Unverified Application: 'Tailscale'","Unverified Application: 'Tailscale'","Nov 26, 2025 @ 22:07:41.000"
cZqAwJoBgRINlVaoMj2z,"-","osquery-logs","-",MSI,MSI,programs,programs,"-","-","-","-","-","-","-","-","-","-","SQL Server 2022 Connection Info","SQL Server 2022 Connection Info","-","-","-","-","-","-","-","-","Microsoft Corporation","Microsoft Corporation","16.0.1000.6","16.0.1000.6",30,"Unverified Application: 'SQL Server 2022 Connection Info'","Unverified Application: 'SQL Server 2022 Connection Info'","Nov 26, 2025 @ 22:07:41.000"
cpqAwJoBgRINlVaoMj21,"-","osquery-logs","-",MSI,MSI,patches,patches,"-","-","-","-",KB5066131,KB5066131,"10/20/2025","10/20/2025","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",10,"Missing Patch: KB5066131","Missing Patch: KB5066131","Nov 26, 2025 @ 22:07:41.000"
c5qAwJoBgRINlVaoMj23,"-","osquery-logs","-",MSI,MSI,patches,patches,"-","-","-","-",KB5068861,KB5068861,"11/23/2025","11/23/2025","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",10,"Missing Patch: KB5068861","Missing Patch: KB5068861","Nov 26, 2025 @ 22:07:41.000"
dJqAwJoBgRINlVaoMj24,"-","osquery-logs","-",MSI,MSI,patches,patches,"-","-","-","-",KB5067035,KB5067035,"11/5/2025","11/5/2025","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",10,"Missing Patch: KB5067035","Missing Patch: KB5067035","Nov 26, 2025 @ 22:07:41.000"
3JqAwJoBgRINlVaoMTwE,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",129,129,Registry,Registry,Registry,Registry,224,224,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
3ZqAwJoBgRINlVaoMTwH,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",0,0,"smss.exe","smss.exe","C:\Windows\System32\smss.exe","C:\Windows\System32\smss.exe",796,796,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
3pqAwJoBgRINlVaoMTwJ,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",5,5,"csrss.exe","csrss.exe","C:\Windows\System32\csrss.exe","C:\Windows\System32\csrss.exe",1084,1084,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
35qAwJoBgRINlVaoMTwK,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",5,5,"wininit.exe","wininit.exe","C:\Windows\System32\wininit.exe","C:\Windows\System32\wininit.exe",1192,1192,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
4JqAwJoBgRINlVaoMTwN,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",11,11,"services.exe","services.exe","C:\Windows\System32\services.exe","C:\Windows\System32\services.exe",1336,1336,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
"2pqAwJoBgRINlVaoMDz-","-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",0,0,"[System Process]","[System Process]","(empty)","(empty)",0,0,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
25qAwJoBgRINlVaoMTwB,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",3,3,System,System,"(empty)","(empty)",4,4,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
